20220101, 대구, 팥(적두), 258000, 
20220101, 광주, 팥(적두), 263000, 
20220101, 대전, 팥(적두), 257000, 
20220101, 서울서부, 녹두, 720000, 
20220101, 부산, 녹두, 685000, 
20220101, 대구, 녹두, 700000, 
20220101, 광주, 녹두, 680000, 
20220101, 서울서부, 녹두, 10600, 
20220101, 서울, 녹두, 17500, 
20220101, 부산, 녹두, 10500, 
20220101, 대구, 녹두, 10000, 
20220101, 인천, 녹두, 11000, 
20220101, 광주, 녹두, 8750, 
20220101, 대전, 녹두, 10600, 
20220101, 울산, 녹두, 9580, 
20220101, 경기수원, 녹두, 10200, 
20220101, 경기, 녹두, 17900, 
20220101, 강원춘천, 녹두, 10300, 
20220101, 전북전주, 녹두, 8830, 
20220101, 경북포항, 녹두, 11800, 
20220101, 제주, 녹두, 7610, 
20220101, 서울서부, 녹두, 213000, 
20220101, 부산, 녹두, 220000, 
20220101, 대구, 녹두, 217000, 
20220101, 광주, 녹두, 203000, 
20220101, 서울, 당근, 4290, 
20220101, 부산, 당근, 2500, 
20220101, 부산, 당근, 2800, 
20220101, 부산, 당근, 2930, 
20220101, 대구, 당근, 3000, 
20220101, 대구, 당근, 2980, 
20220101, 대구, 당근, 2800, 
20220101, 인천, 당근, 3000, 
20220101, 인천, 당근, 4290, 
20220101, 광주, 당근, 3000, 
20220101, 광주, 당근, 2800, 
20220101, 광주, 당근, 2980, 
20220101, 대전, 당근, 2600, 
20220101, 대전, 당근, 2980, 
20220101, 대전, 당근, 4290, 
20220101, 울산, 당근, 3060, 
20220101, 울산, 당근, 2800, 
20220101, 세종, 당근, 2980, 
20220101, 경기수원, 당근, 2830, 
20220101, 경기, 당근, 2400, 
20220101, 경기의정부, 당근, 2800, 
20220101, 강원춘천, 당근, 2660, 
20220101, 강원, 당근, 4290, 
20220101, 강원강릉, 당근, 2890, 
20220101, 강원강릉, 당근, 2800, 
20220101, 충북청주, 당근, 3000, 
20220101, 청주, 당근, 2980, 
20220101, 전북전주, 당근, 3000, 
20220101, 전주, 당근, 2980, 
20220101, 전남순천, 당근, 2800, 
20220101, 전남순천, 당근, 3000, 
20220101, 경북포항, 당근, 2660, 
20220101, 경북포항, 당근, 4290, 
20220101, 경북안동, 당근, 2980, 
20220101, 경남창원, 당근, 3100, 
20220101, 경남창원, 당근, 2980, 
20220101, 제주, 당근, 3160, 
20220101, 제주, 당근, 2980, 
20220101, 서울서부, 당근, 30000, 
20220101, 대전, 녹두, 223000, 
20220101, 서울서부, 고구마(밤), 35000, 
20220101, 부산, 고구마(밤), 32000, 
20220101, 대구, 고구마(밤), 34300, 
20220101, 대전, 고구마(밤), 32200, 
20220101, 서울서부, 고구마(밤), 5750, 
20220101, 서울서부, 고구마(밤), 5330, 
20220101, 서울, 고구마(밤), 4660, 
20220101, 서울, 고구마(밤), 5950, 
